50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,,,,,,,,,,4c8ff641-f7a8-4faf-b69c-8c57880107e3,1638,,,"[17.0, 53.4]",3794689,46,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Simon Thorup Kjær,5534.0,Right Center Back,81,Denmark,776,['2912d536-8e9c-43f8-a1c3-a6b7dcaba70a'],38,,,,,,,,,,,,,,,,,Denmark,00:01:38.256,Ball Receipt*,,17.0,53.4,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,127819f1-6eab-4628-9e70-2b520bc7926f,1641,,,"[28.5, 74.9]",3794689,46,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jens Stryger Larsen,5524.0,Right Back,81,Denmark,776,['0495e609-9eb0-427d-9b1d-097534f44d94'],41,,,,,,,,,,,,,,,,,Denmark,00:01:41.968,Ball Receipt*,,28.5,74.9,,,,,
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,50df7663-291c-4dad-a9ad-028cfefb50c3,1644,,,"[62.7, 65.3]",3794689,46,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Kasper Dolberg,6302.0,Center Forward,81,Denmark,776,['4456e697-3b6a-4158-9bd0-db7add922024'],46,,,,,,,,,,,,,,,,,Denmark,00:01:46.878,Ball Receipt*,,62.7,65.3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,51d3fd44-289f-4be6-952c-6032cfb52f76,1648,,,"[56.1, 34.6]",3794689,46,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Joseff Morrell,22074.0,Right Defensive Midfield,82,Wales,907,['f1dc684b-389c-40fa-99e3-3196d668bc9e'],49,,,,,,,,,,,,,,,,,Wales,00:01:49.270,Ball Receipt*,,56.1,34.6,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0e8d2b51-a6b1-4233-a52e-eec357125f72,1651,,,"[60.0, 72.4]",3794689,46,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Neco Williams,34794.0,Right Back,82,Wales,907,['64580442-4c84-478a-af35-9fae82cc0280'],53,,,,,,,,,,,,,,,,,Wales,00:01:53.290,Ball Receipt*,,60.0,72.4,,,,,
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,34587752-b7a6-478d-a2cb-af7c9c24aff0,1655,,,"[88.0, 69.8]",3794689,46,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Daniel James,11252.0,Right Wing,82,Wales,907,['c90a7e34-3c1f-47cd-9094-df31493acfd1'],57,,,,,,,,,,,,,,,,,Wales,00:01:57.539,Ball Receipt*,,88.0,69.8,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,b5f53314-33e8-4fa5-806b-7520722102d7,1659,,,"[58.5, 2.2]",3794689,47,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Joakim Mæhle,16554.0,Left Back,82,Wales,907,['9eab5368-90ef-4071-bb9c-b0120ce27aad'],9,,,,,,,,,,,,,,,,,Denmark,00:02:09.442,Ball Receipt*,,58.5,2.2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,6e7aee9d-e9c9-42f8-b459-aa7d86611cac,1669,,,"[69.9, 69.1]",3794689,47,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Joseff Morrell,22074.0,Right Defensive Midfield,83,Wales,907,['f675c2c2-87d6-48d0-8ee3-7808f4710f77'],19,,,,,,,,,,,,,,,,,Wales,00:02:19.489,Ball Receipt*,,69.9,69.1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,65091c39-2961-4ac8-a349-6c04b9a6aedf,1672,,,"[66.9, 77.2]",3794689,47,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Aaron Ramsey,3517.0,Center Attacking Midfield,83,Wales,907,['28170a3c-a2a3-4389-86ce-40c9d91da9c9'],20,,,,,,,,,,,,,,,,,Wales,00:02:20.308,Ball Receipt*,,66.9,77.2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,890c1753-3cc3-4340-9a6e-6163f31a70bf,1675,,,"[35.8, 75.0]",3794689,47,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Chris Mepham,4767.0,Right Center Back,83,Wales,907,['820ef26f-1023-4674-9dbd-e195f348582e'],23,,,,,,,,,,,,,,,,,Wales,00:02:23.122,Ball Receipt*,,35.8,75.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,305a1af5-6159-4c07-9ed2-46d4e455c4e6,1678,,,"[36.4, 42.6]",3794689,47,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Joe Rodon,11250.0,Left Center Back,83,Wales,907,['2d898100-1cf0-4805-a61d-7809e44c7361'],27,,,,,,,,,,,,,,,,,Wales,00:02:27.399,Ball Receipt*,,36.4,42.6,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2d22c5c7-7896-47f6-91ca-7b7f17709d22,1681,,,"[62.6, 13.6]",3794689,47,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Gareth Frank Bale,6399.0,Left Wing,83,Wales,907,['5f139373-b65e-4642-9277-b481977188a8'],31,,,,,,,,,,,,,,,,,Wales,00:02:31.758,Ball Receipt*,,62.6,13.6,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,28365692-9b03-448d-a231-0ce80383cb53,1684,,,"[81.4, 27.8]",3794689,47,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Kieffer Roberto Francisco Moore,3853.0,Center Forward,83,Wales,907,"['b51b6622-3bdf-466c-8f11-91649a220b2c', 'd02e0929-0bca-4cdc-b5d8-6b3436192342']",33,,,,,,,,,,,,,,,,,Wales,00:02:33.198,Ball Receipt*,True,81.4,27.8,,,,,
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,e46d4bb0-c725-4fdc-881a-3796772ec162,1687,,,"[63.0, 73.0]",3794689,47,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Martin Braithwaite Christensen,4447.0,Right Wing,83,Wales,907,['37856aa2-94e0-4a2e-a49c-37a3366bbb6d'],35,,,,,,,,,,,,,,,,,Denmark,00:02:35.933,Ball Receipt*,,63.0,73.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,8f2f2510-2724-42fb-bd9c-66cfbf125f8c,1691,,,"[31.3, 71.1]",3794689,47,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jens Stryger Larsen,5524.0,Right Back,84,Denmark,776,['83a1ae1d-6045-4097-b379-9ae3b409f37d'],39,,,,,,,,,,,,,,,,,Denmark,00:02:39.083,Ball Receipt*,,31.3,71.1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,c07b4763-c706-45aa-896b-5f7f24541997,1695,,,"[42.7, 66.5]",3794689,47,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Pierre-Emile Højbjerg,3570.0,Right Center Midfield,84,Denmark,776,['7c649bac-67d6-4adf-93f8-616fbcf9a307'],40,,,,,,,,,,,,,,,,,Denmark,00:02:40.732,Ball Receipt*,,42.7,66.5,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,a19b4075-3b53-44fa-8bab-645f2a8a5f6c,1698,,,"[72.0, 77.3]",3794689,47,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Martin Braithwaite Christensen,4447.0,Right Wing,84,Denmark,776,['ca4a48e6-5ad9-4cdf-af2a-4e5bf715363d'],44,,,,,,,,,,,,,,,,,Denmark,00:02:44.069,Ball Receipt*,,72.0,77.3,,,,,
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,a59abe56-e5bc-429e-96c5-99a660061827,1702,,,"[105.7, 32.0]",3794689,47,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Mikkel Damsgaard,24443.0,Left Wing,84,Denmark,776,['327a87d5-acc5-4dfd-b18e-0200fcbe0e5a'],51,,,,,,,,,,,,,,,,,Denmark,00:02:51.002,Ball Receipt*,,105.7,32.0,,,,,
