ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,"[44.3, 51.9]",,,,,,,,,,,1.876109,,,,,,,,,,,,,,3a1f7035-8e8e-4fbf-b811-6231e1cee948,697,,,"[44.3, 51.9]",3788751,14,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Raphaël Varane,5485.0,Right Center Back,27,France,771,"['1f6deff3-7b15-49a7-89cd-96fca94e3223', 'e9750d86-5298-4477-8174-11482b8af553']",31,,,,,,,,,,,,,,France,00:14:31.444,Carry,,44.3,51.9,,,,,
,,"[47.8, 25.4]",,,,,,,,,,,2.810523,,,,,,,,,,,,,,79085987-d018-4215-8fd0-c87a7c5ce6e3,700,,,"[47.8, 25.4]",3788751,14,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Presnel Kimpembe,2999.0,Left Center Back,27,France,771,"['c2651a9d-2e20-475c-a2c8-bb6e7d0fd3c1', 'eba76d83-c7f4-4bcf-857b-b47f48a1fc9a']",34,,,,,,,,,,,,,,France,00:14:34.783,Carry,,47.8,25.4,,,,,
,,"[55.0, 39.9]",,,,,,,,,,,2.031189,,,,,,,,,,,,,,d750e58d-a2a3-42af-92b5-7c13903ca588,703,,,"[55.0, 39.9]",3788751,14,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,N''Golo Kanté,3961.0,Center Defensive Midfield,27,France,771,"['2fb3902e-b41f-4025-ae43-712fa786ae52', '480aed0f-e140-4b8b-84ad-361f64304b1a']",38,,,,,,,,,,,,,,France,00:14:38.215,Carry,,55.0,39.9,,,,,
,,"[63.6, 55.8]",,,,,,,,,,,2.540561,,,,,,,,,,,,,,f1d82ee1-86c1-4846-873b-367a41ff2c64,706,,,"[57.0, 55.8]",3788751,14,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Paul Pogba,20004.0,Right Center Midfield,27,France,771,"['63724388-aa35-468c-ab2e-d6b041f8bd4f', '8bf43b99-0d0e-4cf8-a563-6849bf35c2b9']",41,,,,,,,,,,,,,,France,00:14:41.577,Carry,,57.0,55.8,,,,,
,,"[90.3, 51.7]",,,,,,,,,,,0.800843,,,,,,,,,,,,,,9feed9c8-0f70-470c-a3e1-a404b7090ff6,716,,,"[90.3, 51.7]",3788751,14,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,N''Golo Kanté,3961.0,Center Defensive Midfield,27,France,771,"['140ca61e-ae5d-42c5-b436-1feb7cbd79ce', 'e1f0fe22-a939-4da0-b378-222877f6b51d']",48,,,,,,,,,,,,,,France,00:14:48.563,Carry,,90.3,51.7,,,,,
,,"[115.1, 65.6]",,,,,,,,,,,0.76208,,,,,,,,,,,,,,e6f0de5b-43f9-4055-8c1f-69f547ed39b3,722,,,"[113.6, 69.2]",3788751,14,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Benjamin Pavard,5476.0,Right Back,27,France,771,"['9cbfe1db-5a92-4936-bc06-a8b964af5e3d', 'c0faf2cc-c6f2-4d2a-818e-33f5f10e2abf']",52,,,,,,,,,,,,,,France,00:14:52.004,Carry,,113.6,69.2,,,,,
,,"[44.3, 5.3]",,,,,,,,,,,1.096991,,,,,,,,,,,,,,690ff0c3-234a-497d-bc0a-b66dc654922c,736,,,"[44.3, 5.3]",3788751,15,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Robin Gosens,6985.0,Left Wing Back,29,Germany,770,"['1c8c0523-ce2d-41b4-bd8b-32d279bfcdb4', '8cfcbf03-dc83-4af8-8dab-4e34e11d3880']",48,,,,,,,,,,,,,,Germany,00:15:48.585,Carry,,44.3,5.3,,,,,
,,"[23.6, 16.2]",,,,,,,,,,,3.319997,,,,,,,,,,,,,,1b2c2d24-fbfc-4fa4-b37a-294422e83698,739,,,"[23.6, 16.2]",3788751,15,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Antonio Rüdiger,3167.0,Left Center Back,29,Germany,770,"['18f9fcc2-2628-475d-83b4-d35afd023992', '81af115c-487a-4cc6-b4c7-c46e0f1dfaa6']",50,,,,,,,,,,,,,,Germany,00:15:50.882,Carry,,23.6,16.2,,,,,
,,"[25.7, 48.3]",,,,,,,,,,,1.199999,,,,,,,,,,,,,,d5f33082-c245-40cc-afa9-ea83f7e54221,742,,,"[25.7, 48.3]",3788751,15,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Mats Hummels,5572.0,Center Back,29,Germany,770,"['02c114b4-f663-463f-8e87-7e3c4b89f936', '7dae8d0d-12ae-45ba-85cb-8f7930f3f3eb']",55,,,,,,,,,,,,,,Germany,00:15:55.820,Carry,,25.7,48.3,,,,,
,,"[51.8, 41.5]",,,,,,,,,,,0.82065,,,,,,,,,,,,,,eeec3915-56e7-4d33-86a9-84084cdbc7a8,747,,,"[49.2, 41.9]",3788751,15,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,İlkay Gündoğan,10287.0,Right Defensive Midfield,29,Germany,770,"['6300383d-f6c3-4a00-9d98-85ba8626238f', '8b5fa865-da1d-4e34-a349-7119ba6f2d2d']",59,,,,,,,,,,,,,,Germany,00:15:59.332,Carry,,49.2,41.9,,,,,
,,"[84.1, 24.3]",,,,,,,,,,,2.221718,,,,,,,,,,,,,,2e6a1c97-d241-4157-a394-49cf06095b7e,750,,,"[66.4, 23.1]",3788751,16,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Kai Havertz,8966.0,Right Attacking Midfield,29,Germany,770,"['70f84847-ced5-4a26-b72e-38739b788c1b', 'f54ceff1-073f-4742-976a-df669f39b2b9']",1,,,,,,,,,,,,,,Germany,00:16:01.332,Carry,,66.4,23.1,,,,,
,,"[91.8, 72.9]",,,,,,,,,,,2.194315,,,,,,,,,,,,,,f1287c5a-6606-4202-b3aa-96ab0e08459f,757,,,"[91.8, 72.9]",3788751,16,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Joshua Kimmich,5579.0,Right Wing Back,29,Germany,770,"['49336243-8c2e-4448-b8a7-38b797e5c7de', '59cba0d4-6e02-4dbc-ad20-209cc447ca6c']",7,,,,,,,,,,,,,,Germany,00:16:07.402,Carry,,91.8,72.9,,,,,
,,"[48.0, 25.0]",,,,,,,,,,,2.287515,,,,,,,,,,,,,,08092d6a-e695-48c7-b702-38b535a17230,763,,,"[49.0, 28.2]",3788751,16,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Karim Benzema,19677.0,Center Forward,29,Germany,770,"['3edd0eaa-41e7-4c91-9ccf-aa74a949a970', '71fe9123-b384-4cd3-a3a5-a106799b32f1', 'f9a29b00-7954-4eec-9c08-5dfca65d86fc']",13,,,,,,,,,,,,,,France,00:16:13.017,Carry,True,49.0,28.2,,,,,
