ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,True,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,15dd5e47-0e24-405f-b866-9587ff6ee763,408,,"[51.5, 69.0]",3788758,10,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Mykola Shaparenko,21294.0,Right Center Midfield,22,North Macedonia,2358,,33,,,,,,,,,,,,,,,,Ukraine,00:10:33.605,Ball Recovery,,51.5,69.0,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,618cc8d3-c487-4735-8072-8e4ce1378d67,448,,"[80.6, 38.5]",3788758,11,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Mykola Shaparenko,21294.0,Right Center Midfield,24,Ukraine,911,,33,,,,,,,,,,,,,,,,Ukraine,00:11:33.883,Ball Recovery,,80.6,38.5,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,a376ad78-6988-40ff-af0b-aed60fb09321,458,,"[3.5, 40.1]",3788758,11,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Stole Dimitrievski,21397.0,Goalkeeper,25,North Macedonia,2358,,39,,,,,,,,,,,,,,,,North Macedonia,00:11:39.543,Ball Recovery,,3.5,40.1,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,e06391b2-0028-4da3-b6b0-5b6570a3d119,495,,"[49.5, 26.8]",3788758,12,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ruslan Malinovskiy,16557.0,Left Wing,27,Ukraine,911,,28,,,,,,,,,,,,,,,,Ukraine,00:12:28.006,Ball Recovery,,49.5,26.8,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2405c70e-485e-4a35-b12c-12d5b0a2d55a,546,,"[105.2, 54.7]",3788758,14,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Boban Nikolov,16740.0,Right Wing Back,30,North Macedonia,2358,,15,,,,,,,,,,,,,,,,North Macedonia,00:14:15.532,Ball Recovery,,105.2,54.7,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0b7d9204-7bb3-4770-b739-50b5677eb3d8,686,,"[36.6, 45.3]",3788758,17,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Oleksandr Zinchenko,3575.0,Left Center Midfield,33,Ukraine,911,,33,,,,,,,,,,,,,,,,Ukraine,00:17:33.839,Ball Recovery,,36.6,45.3,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,fe615fde-0ae7-48d9-902a-f131499b911c,777,,"[65.3, 26.8]",3788758,19,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Oleksandr Zinchenko,3575.0,Left Center Midfield,38,Ukraine,911,,58,,,,,,,,,,,,,,,,Ukraine,00:19:58.012,Ball Recovery,,65.3,26.8,,,,,
,,,,,,,,,,,,,,0.859046,,,,,,,,,,,,,,,,264c55b3-c364-4681-a122-80dadfb0fe00,789,,"[39.8, 41.0]",3788758,20,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Eljif Elmas,16535.0,Left Center Forward,38,Ukraine,911,['281ecf8b-4acb-43d7-b56d-7c975434016b'],10,,,,,,,,,,,,,,,,North Macedonia,00:20:10.428,Ball Recovery,True,39.8,41.0,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,5840217a-b3c9-47e8-bf4b-602361982375,793,,"[78.5, 39.4]",3788758,20,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Illia Zabarnyi,39136.0,Right Center Back,38,Ukraine,911,,11,,,,,,,,,,,,,,,,Ukraine,00:20:11.796,Ball Recovery,,78.5,39.4,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,7da3380b-a9aa-4110-b420-c58e7d4a51b5,873,,"[70.0, 4.0]",3788758,21,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Mykola Shaparenko,21294.0,Right Center Midfield,42,Ukraine,911,,13,,,,,,,,,,,,,,,,Ukraine,00:21:13.296,Ball Recovery,,70.0,4.0,,,,,
,True,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,3e941ea6-ee86-4ca0-b3f2-cfe93997273e,878,,"[70.9, 8.1]",3788758,21,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Mykola Shaparenko,21294.0,Right Center Midfield,42,Ukraine,911,,15,,,,,,,,,,,,,,,,Ukraine,00:21:15.524,Ball Recovery,,70.9,8.1,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,a59cdd6f-ec64-4cfb-90ef-f4532148615f,911,,"[89.3, 16.9]",3788758,21,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ruslan Malinovskiy,16557.0,Left Wing,42,Ukraine,911,,42,,,,,,,,,,,,,,,,Ukraine,00:21:42.544,Ball Recovery,,89.3,16.9,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,9ee815b8-bf15-4451-9c81-69c0f61f9670,929,,"[86.4, 59.1]",3788758,21,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Andriy Yarmolenko,8830.0,Right Wing,42,Ukraine,911,,52,,,,,,,,,,,,,,,,Ukraine,00:21:52.750,Ball Recovery,,86.4,59.1,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,8cc292a5-0085-4b86-bd90-d133c1846fb5,943,,"[4.7, 14.6]",3788758,22,,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Darko Velkovski,30644.0,Center Back,43,North Macedonia,2358,['d8b9b58e-201c-428f-bd69-dbde4a337f55'],4,,,,,,,,,,,,,,,,North Macedonia,00:22:04.207,Ball Recovery,True,4.7,14.6,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,32149981-bb55-4f82-880e-c7593e193aa8,954,,"[66.8, 22.2]",3788758,22,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Eljif Elmas,16535.0,Left Center Forward,44,North Macedonia,2358,,15,,,,,,,,,,,,,,,,North Macedonia,00:22:15.362,Ball Recovery,,66.8,22.2,,,,,
