50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,1.18357,,,,,,,,,,,,5f9aa431-0847-443f-b307-c1fd6ce385bc,1334,,,"[47.4, 61.1]",3788747,32,,,,-1.7379713,,Right Foot,,,,"[44.7, 45.1]",,Ground Pass,,16.226213,,,David Olatukunbo Alaba,,,,,,1,From Throw In,Aleksandar Dragović,3969.0,Right Center Back,78,Austria,915,['806cc294-392e-4604-8f72-e9ed1154649e'],53,,,,,,,,,,,,,,Austria,00:32:53.419,Pass,,47.4,61.1,44.7,45.1,,,
,,,,,,,,,,,,,,,,1.156,,,,,,,,,,,,7235c442-02ab-44d0-bed9-f5c421404dfd,1337,,,"[44.7, 45.1]",3788747,32,,,,-1.2661514,,Left Foot,,,,"[50.8, 25.7]",,Ground Pass,,20.33642,,,Martin Hinteregger,,,,,,1,From Throw In,David Olatukunbo Alaba,8220.0,Center Back,78,Austria,915,['9311c48b-5417-4c0b-a384-0e697c798c79'],56,,,,,,,,,,,,,,Austria,00:32:56.517,Pass,,44.7,45.1,50.8,25.7,,,
,,,,,,,,,,,,,,,,0.909497,,,,,,,,,,,,32770e67-5e75-499d-a22f-fe36952d1f3d,1340,,,"[50.8, 25.7]",3788747,32,,,,0.8846382,,Left Foot,,,,"[61.2, 38.4]",,Ground Pass,,16.414932,,,Xaver Schlager,,,,,,1,From Throw In,Martin Hinteregger,8307.0,Left Center Back,78,Austria,915,['11ce07c7-69fa-4a9a-b6fe-2b6eeef311d0'],58,,,,,,,,,,,,,,Austria,00:32:58.963,Pass,,50.8,25.7,61.2,38.4,,,
,,,,,,,,,,,,,,,,1.361067,,,,,,,,,,,,e93ba36b-fcc1-49c4-a052-3fe29f7196f2,1343,,,"[57.8, 38.4]",3788747,33,,,,-2.2917676,,Left Foot,,,,"[49.1, 28.5]",,Ground Pass,,13.179529,,,Martin Hinteregger,,,,,,1,From Throw In,Xaver Schlager,8769.0,Center Defensive Midfield,78,Austria,915,['bd1a06cb-410e-442c-b78f-2b8999aa35d6'],0,,,,,,,,,,,,,,Austria,00:33:00.415,Pass,,57.8,38.4,49.1,28.5,,,
,,,,,,,,,,,,,,,,1.337302,,,,,,,,,,,,b4648e07-16d7-4d11-8781-db2acbff9bf8,1346,,,"[49.5, 28.4]",3788747,33,,,,1.4253342,,Left Foot,,,,"[51.8, 44.1]",,Ground Pass,,15.867577,,,David Olatukunbo Alaba,,,,,,1,From Throw In,Martin Hinteregger,8307.0,Left Center Back,78,Austria,915,['108f5e33-9e5e-481b-89fe-a5882ccc9cfb'],4,,,,,,,,,,,,,,Austria,00:33:04.041,Pass,,49.5,28.4,51.8,44.1,,,
,,,,,,,,,,,,,,,,1.21396,,,,,,,,,,,,c43b94ce-2504-4b06-a84b-08e587838e1f,1349,,,"[51.8, 44.1]",3788747,33,,,,1.0915858,,Left Foot,,,,"[62.4, 64.5]",,Ground Pass,,22.989563,,,Aleksandar Dragović,,,,,,1,From Throw In,David Olatukunbo Alaba,8220.0,Center Back,78,Austria,915,['0ee60015-dae2-4a2a-b7a6-f7a43e520dc4'],6,,,,,,,,,,,,,,Austria,00:33:06.168,Pass,,51.8,44.1,62.4,64.5,,,
,,,,,,,,,,,,,,,,0.758816,,,,,,,,,,,,eb65f02f-575e-4520-be61-d57034f1f82d,1352,,,"[69.7, 65.3]",3788747,33,,,,-0.16644569,,Right Foot,,,,"[82.2, 63.2]",,Ground Pass,,12.675173,,,Christoph Baumgartner,,,,,,1,From Throw In,Aleksandar Dragović,3969.0,Right Center Back,78,Austria,915,['7df1f2dd-f9d5-4f62-8073-075bcac7ef03'],9,,,,,,,,,,,,,,Austria,00:33:09.855,Pass,,69.7,65.3,82.2,63.2,,,
,,,,,,,,,,,,,,,,1.392421,,,,,,,,,,,,0ec77fe9-fde0-4780-96c3-2660e13de339,1362,,,"[120.0, 80.0]",3788747,34,,,,-1.747591,,Left Foot,,,,"[112.8, 39.7]",,High Pass,True,40.938126,Incomplete,,,,True,Inswinging,,Corner,1,From Corner,David Olatukunbo Alaba,8220.0,Center Back,79,Austria,915,['6f7994e2-929e-4aeb-85c4-96af97fb73db'],2,,,,,,,,,,,,,,Austria,00:34:02.660,Pass,,120.0,80.0,112.8,39.7,,,
,,,,,,,,,,,,,,,,1.805717,,,,,,,,,,,,d0ec1c62-7e01-4039-85da-74de667bd517,1364,,,"[90.5, 50.3]",3788747,34,,,,-0.22172704,,Head,,,,"[107.8, 46.4]",,High Pass,,17.734148,Unknown,,,,,,,Recovery,1,From Corner,Xaver Schlager,8769.0,Center Defensive Midfield,79,Austria,915,,6,,,,,,,,,,,,,,Austria,00:34:06.470,Pass,,90.5,50.3,107.8,46.4,,,
,,,,,,,,,,,,,,,,3.501993,,,,,,,,,,,,35c75552-9d5a-4472-81b0-3bc62e103dfb,1367,,,"[12.9, 35.2]",3788747,35,,,,-0.22104706,,Right Foot,,,,"[84.1, 19.2]",,High Pass,,72.97561,Incomplete,,Aleksandar Trajkovski,,,,,Free Kick,1,From Free Kick,Stole Dimitrievski,21397.0,Goalkeeper,80,North Macedonia,2358,"['65f0f4f9-abf0-43bd-b792-1a7c15a54e0b', 'f0d43c5b-557e-4680-abbd-77128a6216a9']",6,,,,,,,,,,,,,,North Macedonia,00:35:06.344,Pass,,12.9,35.2,84.1,19.2,,,
